"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
"1999",NA,NA,"3","4","3","3","2","2","2","2","3","4","4","5","5","2","4","5","1","5","4","5","7","6","6","6","6","1","2","2","1","3","2","1","2","2","3","3","2","3","2","3","2","1","1","2","2","2","3","1","3","2","4","2","1","2","1","2","4","5","3","1"
"1969","2","2","1",NA,"3","2","2","1","3","2","5","3","6","6","6","5",NA,"5","2","5","5","0","0","6","5","6","17","4","3","2","2","3","2","3",NA,"3","3","2","3","3","2","4","2","1","1","1","2","2","3","1","2","1","3","2","2","2",NA,"4","3","3","2",NA
"1988",NA,NA,"2","5","5","5","4","4","4","4","1","2","2","3",NA,"4","4","6","6","5","5","8","6","4","6",NA,"9","4","3",NA,"3","3","3","4","4","4","4","2","2","2","2","55","2","1","1","1","2","2","3",NA,"4","4","2","2","3","3","33","3","4","3","3","2"
"1952",NA,NA,"4","5","3","3","3","3","3","3","0","0","6","5","2","0","5","6","0","0","0",NA,"0","10","0","1","1","0","3","5","3","3","6","2","6","3","6","2","2","5","6","4","2","1","1",NA,"2","2","2","1","1","3","4","2","1","4","2","1","4","4","1","1"
"1987",NA,NA,"2","3","3","3",NA,NA,"3","3","3","3","4","3","5","5","4","5","7","5","3","4","4","8","4","3","4","4","4","3",NA,NA,"3","3","3","4","6","6","5","5","5",NA,"2","1","1","2","2","2","3","1","4","3","2","2","3","3","44","3","4","2","3","2"
"1950",NA,NA,"2","3","2","3","1","3","3","3","4","3","4","5","3","2","5","7","1","4","4","5","5","7","4","5","4","2","3","3","2","2","2","2","4","2","2","2","2","2","3","4","2","1","1","1","2","2","3",NA,"3","2",NA,"3","2","2","1","2","4","4","2","1"
"1998",NA,"1","1","3","3","2",NA,"2","4","3","1","4","4","6","6",NA,"4","6","0","3","4","8","5","8","6","5","12","4","2","3","1","3","1","3","3",NA,"3","2","2",NA,"1","3","2","1","1","1","2","2","3",NA,"2","1","2","2","1","1","1","3","3","3",NA,"3"
"1989",NA,"2","3",NA,"3","3","3","2",NA,"3","4","3","5","5","5","5","6","5","4","6","5","0","5","8","7","8","17","6","3","3","3","2","2","3","3","4","3","2","3","3","2","3","2","1","1","1","2","1","3",NA,"2","1","2","2","2","2","1","2",NA,"3","2","3"
"1988",NA,NA,"1","4","1","1","1","2","2","3","4","5","4","4","3","3","5","6","3","5","4",NA,"4","8","5","4","9","2","2","2","1","1","2","1","1","2","1","1","1","4","2","4","2","1","1","1","2","2","3","2","2","2","4","2","1","3","55","3","1","4","3","1"
"1960",NA,NA,"2","2","3","2","2","1","1","1","3","3","5",NA,NA,"5","3","2","2","1","1",NA,"3","4","4","4","4","3","2","2","3","3","3","3","4","4","3","2","1","1","1","3","2","1","1","1","2","2","3",NA,"1","3","4","2","3","2","1","2","4","2","3",NA
"1949",NA,NA,"4","5","2","3","2","5","3",NA,"2","1","4",NA,NA,"0","0","5","0","0","0",NA,NA,"7","0","7","2","0","2","5","3","3",NA,NA,"5","3","3","3","3","2","4","4","2","1","1","1","2","2","3",NA,"3",NA,"4","3","2","3",NA,"2","3","2","3","1"
"1971",NA,NA,"2","5","1","4","1","3","1","3","0","1","5","6","6","4","6","6","1","1","1",NA,"4","7","4","6","4","1","1","4","1","2","2","1","6","1","1","2","3","2","4","3","2","1","1","1","2","2","3","1","3","3","3","4","1","2","1","2","3","4","4","2"
