"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
1958,3,3,2,4,1,3,3,3,3,3,3,4,5,6,6,2,6,7,3,4,7,6,5,10,10,3,4,3,3,3,1,1,1,1,3,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,3,3,2,1
1995,5,66,3,3,3,2,88,3,3,77,1,3,3,3,5,3,3,3,4,3,4,77,5,8,5,3,9,1,88,88,3,5,3,3,77,77,77,88,77,88,88,2,8,1,1,1,2,2,3,1,4,3,3,8,2,3,88,2,4,3,2,2
1974,66,66,1,4,2,2,2,2,3,2,2,3,5,6,6,7,7,7,4,5,6,5,5,8,7,7,4,6,1,3,1,1,1,2,6,2,2,1,2,2,3,3,2,1,1,1,2,2,3,1,2,2,4,1,2,2,1,2,3,4,2,2
1957,77,66,3,3,1,3,2,4,3,3,2,3,4,4,3,1,5,7,1,3,4,5,7,6,4,3,2,4,2,4,3,2,3,2,4,2,3,2,88,2,4,4,2,1,1,1,2,2,3,6,3,3,4,3,2,2,1,2,4,3,1,1
1984,66,66,2,5,2,3,2,2,4,2,1,1,6,5,5,7,7,8,3,4,6,5,4,8,5,6,6,4,1,3,2,1,2,2,5,2,1,1,2,1,2,4,2,1,1,1,2,1,3,1,2,2,4,2,2,2,1,2,3,3,2,2
1999,66,66,3,4,3,3,2,2,2,2,3,4,4,5,5,2,4,5,1,5,4,5,7,6,6,6,6,1,2,2,1,3,2,1,2,2,3,3,2,3,2,3,2,1,1,2,2,2,3,1,3,2,4,2,1,2,1,2,4,5,3,1
1969,2,2,1,88,3,2,2,1,3,2,5,3,6,6,6,5,88,5,2,5,5,0,0,6,5,6,17,4,3,2,2,3,2,3,88,3,3,2,3,3,2,4,2,1,1,1,2,2,3,1,2,1,3,2,2,2,88,4,3,3,2,8
1988,66,66,2,5,5,5,4,4,4,4,1,2,2,3,8,4,4,6,6,5,5,8,6,4,6,66,9,4,3,77,3,3,3,4,4,4,4,2,2,2,2,55,2,1,1,1,2,2,3,6,4,4,2,2,3,3,33,3,4,3,3,2
1952,66,66,4,5,3,3,3,3,3,3,0,0,6,5,2,0,5,6,0,0,0,77,0,10,0,1,1,0,3,5,3,3,6,2,6,3,6,2,2,5,6,4,2,1,1,8,2,2,2,1,1,3,4,2,1,4,2,1,4,4,1,1
1987,66,66,2,3,3,3,88,88,3,3,3,3,4,3,5,5,4,5,7,5,3,4,4,8,4,3,4,4,4,3,88,77,3,3,3,4,6,6,5,5,5,88,2,1,1,2,2,2,3,1,4,3,2,2,3,3,44,3,4,2,3,2
