"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1977,66,66,1,4,3,5,2,2,2,2,2,3,6,6,6,6,8,8,5,6,6,7,6,10,7,2,8,7,1,3,1,1,3,1,4,2,3,1,1,2,3,3
1970,66,66,2,1,2,2,1,2,2,2,1,5,5,5,4,3,8,7,4,2,3,7,1,6,2,7,12,4,2,1,1,2,1,2,4,2,1,1,1,2,2,4
1998,66,66,1,2,1,2,1,1,4,3,3,3,5,6,6,2,6,6,6,7,7,4,9,5,6,9,17,6,3,2,1,2,1,1,2,4,1,1,1,1,1,3
1980,2,2,4,4,2,5,2,3,2,2,0,3,5,6,6,0,8,7,4,5,6,2,6,10,7,8,12,7,2,1,1,2,3,6,6,2,2,2,2,4,2,4
1998,66,66,3,3,2,3,2,2,2,2,2,2,2,4,4,6,7,8,6,8,9,77,0,2,2,2,8,7,2,2,2,3,2,2,4,2,2,2,3,4,4,88
1963,1,1,2,2,2,2,2,2,2,2,2,1,5,6,6,1,6,7,6,6,5,7,2,8,6,7,5,6,2,3,2,2,2,2,4,1,2,2,2,2,2,3
1959,2,2,2,4,2,1,1,2,2,2,2,4,6,6,6,2,4,4,2,2,2,2,8,8,6,8,4,2,2,4,1,1,2,1,4,2,2,1,1,2,2,4
1954,4,4,4,4,3,3,2,3,3,3,0,1,4,6,6,5,6,7,4,5,6,6,4,7,6,8,4,4,3,4,3,3,3,3,4,3,4,3,2,3,3,4
1988,77,66,1,5,1,4,2,4,3,2,0,1,5,6,6,4,7,5,5,4,6,4,3,9,7,3,9,5,2,5,1,1,2,2,4,2,2,1,1,3,4,3
1952,2,2,3,3,2,3,2,3,3,3,1,1,3,6,6,1,1,9,0,8,3,2,7,9,5,6,9,2,3,4,2,3,3,1,4,3,4,3,2,2,3,4
1977,77,66,2,4,1,3,3,2,2,2,4,2,5,6,6,7,6,6,2,6,4,3,7,8,7,8,20,4,2,3,2,2,2,2,4,2,2,2,1,2,3,4
1954,6,6,1,5,1,1,1,5,1,1,0,6,6,5,6,6,5,7,5,4,4,5,10,8,8,7,8,0,2,5,1,1,1,1,5,1,1,1,1,1,4,3
1939,66,66,3,4,3,3,3,5,2,3,0,0,4,5,4,0,4,7,5,4,4,77,3,7,6,88,1,3,3,5,4,3,3,3,4,4,4,4,4,1,1,88
